zip_code,population,American Indian and Alaska Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian and Other Pacific Islander,Some Other Race,White
63088,0.0076528380011207904,0.0009731176255929935,0.05923853545797348,0.044155212261282085,0.04731784454445931,0.0002432794063982484,0.016786279041479137,0.8114584600413575
63105,0.017543533021423478,0.001591849729385546,0.1307439244401995,0.07577204711875199,0.03974318157699246,0.00010612331529236973,0.010400084898652235,0.7178711662952351
63114,0.03280173368756761,0.007151573629991202,0.02389533728751029,0.29945795612566334,0.13485824559411982,0.00019865482305531117,0.08808922439481227,0.4964667820756591
63117,0.008992387190223432,0.0010351966873706005,0.059420289855072465,0.08695652173913043,0.041407867494824016,0.00010351966873706004,0.011801242236024845,0.7715320910973085
63119,0.03238841899683684,0.0020118989451901243,0.021067456097490875,0.07001408329261632,0.03242031443106372,8.62242405081482e-05,0.009283476561377289,0.839967809616877
63120,0.00671450194648878,0.000831831415499792,0.002495494246499376,0.9434354637460142,0.012616109801746846,0.0002772771384999307,0.00804103701649799,0.018023014002495494
63121,0.021325734797187225,0.0027936618796106333,0.015801650006547645,0.8072373303068663,0.022523898904360733,0.00026190580121349685,0.013531799729364006,0.12252826400104762
63122,0.038463400239424635,0.0014279145187444033,0.015755463588179773,0.043466686028219466,0.026452721508264963,0.00026622135095234636,0.0071637745347176846,0.8779012076768556
63123,0.04746509631907894,0.002314224636686344,0.048382984565298395,0.03075173076545922,0.03349742101237522,0.0004314656102296574,0.010570907450626606,0.8476141912961619
63124,0.010588861727618172,0.0012307692307692308,0.06241758241758242,0.03340659340659341,0.0247032967032967,0.0,0.004659340659340659,0.8444835164835165
63125,0.030548051556353224,0.0031082398829839104,0.033276450511945395,0.04927474402730375,0.042997318381277426,0.0001523647001462701,0.014444173573866407,0.8251462701121404
63126,0.01475552063687698,0.002208062582802347,0.023026938363510187,0.01980947574285534,0.030975963661598636,0.000378525014194688,0.009715475364330326,0.8867579332534224
63127,0.005252075416898613,0.0019496632399858206,0.03704360155973059,0.012052463665366891,0.02729528535980149,0.0,0.007444168734491315,0.8833746898263027
63128,0.027673466500099605,0.001143702906350915,0.026506996770721207,0.01318622174381055,0.023042249730893433,6.727664155005382e-05,0.0052139397201291715,0.903760764262648
63129,0.049739258007041244,0.002133552927084893,0.021822129061236713,0.025864650396765984,0.027249588261715824,0.00020586914208713878,0.007504865997903878,0.8872772870190149
63130,0.02741840292969368,0.0016296598085149725,0.06939634684592924,0.3659265295036328,0.039756909078563184,0.0007129761662253005,0.0191145515040402,0.48332993820873227
63131,0.016980345210855653,0.0007675017817005647,0.06797872923633573,0.01732361164409846,0.026259525245326463,0.00043857244668603693,0.008278054931198948,0.8549421632585933
63132,0.01364403923883073,0.0035477928634782014,0.12198949307498123,0.34509108275909123,0.05157945009210616,0.0,0.027972982192808898,0.4363785222078188
63133,0.005998648349254637,0.0020173805090006208,0.0012414649286157666,0.8952513966480447,0.024984481688392304,0.0,0.015673494723774054,0.048417132216014895
63134,0.011856732468103091,0.005652822485671665,0.01107011070110701,0.6080709743267645,0.10614744445316794,0.0007066028107089582,0.06712726701735103,0.23616236162361623
63135,0.018230529061421915,0.002042483660130719,0.005463643790849673,0.6839767156862745,0.02246732026143791,0.00030637254901960784,0.013684640522875817,0.24749795751633988
63136,0.03888043848592775,0.00205904182727991,0.00349558263701008,0.9027701295280963,0.012880982593913855,0.0001915387746306893,0.007589723944741064,0.055187109440467355
63137,0.017468131017033407,0.002664535038635758,0.0017585931254996002,0.8375166533439915,0.011297628563815615,0.000319744204636291,0.005595523581135092,0.12278177458033573
63138,0.017549118355082,0.0039253129641417354,0.003288775726713346,0.8157224697644813,0.017982176957352006,0.0002121790791427965,0.012465520899639296,0.1273074474856779
63140,0.00024016934731652643,0.003875968992248062,0.027131782945736434,0.5658914728682171,0.06976744186046512,0.0,0.03875968992248062,0.3062015503875969
63141,0.020474902303205422,0.0016367356217322118,0.1181632189133894,0.0825642191407138,0.037781313934985225,0.0003182541486701523,0.014412366446919754,0.7273471243464423
63143,0.009016590302743701,0.0023745612223828204,0.024261821185215776,0.12626471195539954,0.04398100351022094,0.0008259343382201115,0.014247367334296924,0.7486062358042536
63144,0.008932810297865844,0.0022926219258024177,0.0653397248853689,0.04105877448937057,0.03480616923718216,0.00010421008753647353,0.009274697790746144,0.8165902459358065
63146,0.02928483526058374,0.0025747798722146288,0.13474681331256555,0.15044979179249182,0.0410057535204552,0.0004450236816173432,0.01808703391716202,0.6318700530849677
